path,label
Scientific/2051025161.txt,Scientific
Note/87705667.txt,Note
Scientific/50590463-0469.txt,Scientific
Resume/50617225-7226.txt,Resume
News/2078115137.txt,News
Memo/96008379.txt,Memo
Report/10176813.txt,Report
Memo/94011032_94011033.txt,Memo
Letter/502406921_502406922.txt,Letter
Memo/2046000414_2046000415.txt,Memo
Note/2064984702.txt,Note
Memo/2075008304.txt,Memo
Memo/2040907509.txt,Memo
Scientific/10404393_10404399.txt,Scientific
Letter/501470966.txt,Letter
Letter/11014972.txt,Letter
Advertisement/2070712842_2843.txt,Advertisement
Memo/1003040251_1003040252.txt,Memo
Form/2025441799.txt,Form
Memo/89286069.txt,Memo
Form/510934211+-4215.txt,Form
Memo/2025851048_2025851049.txt,Memo
Memo/1001809385_1001809386.txt,Memo
Email/2082063281b.txt,Email
Email/2079131244.txt,Email
Memo/2020268309.txt,Memo
Resume/50636686-6687.txt,Resume
Form/2030190285.txt,Form
Letter/50467771-7771.txt,Letter
Scientific/2026025182_2026025325.txt,Scientific
Letter/508847380.txt,Letter
Letter/503664474_503664475.txt,Letter
Report/503445062_503445063.txt,Report
Form/2076160631.txt,Form
Scientific/2053554806.txt,Scientific
Scientific/1000027365.txt,Scientific
Email/2076342380b.txt,Email
Scientific/40037985-7989.txt,Scientific
Memo/1002404594.txt,Memo
Report/506583220_506583221.txt,Report
News/2025028443.txt,News
Note/2078067768.txt,Note
Letter/11284250.txt,Letter
Report/506296226+-6227.txt,Report
Memo/88142422.txt,Memo
Email/2085724771a.txt,Email
Resume/50593387-3387.txt,Resume
Email/2085120731.txt,Email
Letter/71119336.txt,Letter
Email/524449506+-9506.txt,Email
Form/508010150.txt,Form
Advertisement/2070501595.txt,Advertisement
Letter/11019361.txt,Letter
Email/2067640632.txt,Email
Scientific/50455681-5681.txt,Scientific
Email/2081703215a.txt,Email
Memo/titx1529.40_titx1529.41.txt,Memo
News/1004859787.txt,News
Report/tob06632.98_tob06632.99.txt,Report
Letter/50093420-3421.txt,Letter
Email/2078340010b.txt,Email
Email/528051803+-1803.txt,Email
Form/2028880868.txt,Form
News/2073724138.txt,News
Letter/506623600_506623602.txt,Letter
Report/506030259.txt,Report
Note/2021327414_7415.txt,Note
Form/2505234135_4136.txt,Form
Form/2030584391.txt,Form
Advertisement/2040144258.txt,Advertisement
Memo/0000328495.txt,Memo
Memo/2078755206.txt,Memo
Report/507783114+-3116.txt,Report
Scientific/2025492721_2738.txt,Scientific
Memo/2041563228_2041563229.txt,Memo
Letter/502822581+-2585.txt,Letter
Memo/1349980.txt,Memo
Email/2702800465.txt,Email
Email/2078879163a.txt,Email
Email/531678159+-8159.txt,Email
Report/ti02550955_0958.txt,Report
Email/528433655+-3655.txt,Email
Email/2085801762.txt,Email
Report/506348523_506348524.txt,Report
Email/2085791853c_1854.txt,Email
